dim,var_prop,cum_var
1,0.8359372194618848,0.8359372194618848
2,0.10095772865538336,0.9368949481172681
3,0.020132359612570937,0.9570273077298391
4,0.008697138080457892,0.965724445810297
5,0.004283948203692952,0.97000839401399
6,0.002581908753709646,0.9725903027676996
7,0.001641449739987743,0.9742317525076873
8,0.0010375495311288783,0.9752693020388162
9,9.459916233264713e-4,0.9762152936621427
10,7.827458324499513e-4,0.9769980394945926
11,7.742768523488913e-4,0.9777723163469415
12,7.226006278812031e-4,0.9784949169748227
13,6.901657950207907e-4,0.9791850827698435
14,6.418513860257526e-4,0.9798269341558693
15,6.215315937938304e-4,0.9804484657496632
16,5.654848992454894e-4,0.9810139506489086
17,5.439604842842907e-4,0.9815579111331929
18,5.298745366787307e-4,0.9820877856698716
19,5.153136318812503e-4,0.9826030993017529
20,5.054407530969605e-4,0.9831085400548499
